 by Role ,按角色
Display in the sidebar of this Website Route node,显示在本网站Route节点的侧边栏
Do not allow user to change after set the first time,首次设置后不允许用户再进行更改
Doc Status,文件状态
DocField,文档字段
DocPerm,文档权限
DocType,文档类型
DocType Details,DocType详情
DocType can not be merged,文档类型不能合并
DocType on which this Workflow is applicable.,可以应用工作流的文档类型
DocType or Field,文档类型或字段
Doclist JSON,文档列表JSON数据
Docname,文档名称
Document,文档
Document Status transition from ,文档从状态过渡
Document Status transition from {0} to {1} is not allowed,文档状态从{0}到{1}转换是不允许的
Document Type,文件类型
Document is only editable by users of role,文档只有被赋予了权限的用户才能编辑
Documentation,文档
Documents,文档列表
Download,下载
Download Backup,下载备份
Download link for your backup will be emailed on the following email address:,您的备份的下载链接将通过电子邮件发送以下电子邮件地址：
Drafts,草稿箱
Drag to sort columns,拖动列进行排序
Due Date,到期日
Duplicate name {0} {1},重复的名称{0} {1}
Dynamic Link,动态链接
ERPNext Demo,ERP Boost演示
Edit,编辑
Edit Permissions,编辑权限
Editable,可编辑
Email,电子邮件
Email Alert,邮件警报
Email Alert Recipient,邮件警报收件人
Email Alert Recipients,邮件警报收件人
Email By Document Field,发送至(从文档类型中提取)
Email Footer,电子邮件页脚
Email Host,电子邮件主机
Email Id,电子邮件
Email Login,邮箱登录
Email Password,电子邮件密码
Email Sent,邮件已发送
Email Settings,电子邮件设置
Email Signature,电子邮件签名
Email Use SSL,电子邮件使用SSL
Email address,电子邮件地址
"Email addresses, separted by commas",电子邮件地址，以逗号隔开
Email not verified with {1},电子邮件没有通过{1}验证
Email sent to {0},电子邮件已发送到{0}
Email...,电子邮件...
Emails are muted,电子邮件已停用
Embed image slideshows in website pages.,网页中的图像的幻灯片
Enable,启用
Enable Comments,启用评论
Enable Scheduled Jobs,启用定时任务
Enabled,已启用
Ends on,结束于
Enter Form Type,输入表单类型
Enter Value,输入值
Enter at least one permission row,输入至少一个的权限
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.",输入默认值字段（键）和值。如果你对一个字段中添加多个值，则第一个将被使用。这些默认值也可用来设置'匹配'的权限规则。要查看字段的列表，请访问<a href='#Form/Customize Form/Customize Form'>自定义表单</a>
"Enter keys to enable login via Facebook, Google, GitHub.",输入Keys用以通过Facebook 谷歌或者GitHub上登录
Equals,等于
Error,错误
"Error generating PDF, attachment sent as HTML",生成PDF错误，附件以HTML发送
Error: Document has been modified after you have opened it,错误：你已经打开了它之后，文件已被其它的人修改
Event,事件
Event Datetime,事件发生时间
Event Individuals,个人时间
Event Role,事件角色
Event Roles,事件角色
Event Type,事件类型
Event User,事件用户
Event end must be after start,时间结束时间必须在开始时间之后
Events,时间列表
Events In Today's Calendar,今天的事件
Every Day,每天
Every Month,每月
Every Week,每一周
Every Year,每年
Everyone,每个人
Example:,例如：
Expand,展开
Export,导出
Export not allowed. You need {0} role to export.,没有权限进行导出。您需要{0}的角色来进行导出。
Exported,已导出
"Expression, Optional",表达式(可选)
Facebook,Facebook的
Facebook Client ID,Facebook的客户端ID
Facebook Client Secret,Facebook的客户端密钥
Facebook Share,Facebook分享
Facebook User ID,Facebook的用户ID
Facebook Username,Facebook的用户名
FavIcon,网站图标
Female,女
Field Description,字段说明
Field Name,字段名称
Field Type,字段类型
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)",代表工作流状态的状态（如果指定的字段不存在，一个新的隐藏的自定义字段将被创建）
Field {0} in row {1} cannot be hidden and mandatory without default,行{1}的字段{0}不能被隐藏，并且必须有默认选项
Field {0} is not selectable.,字段{0}是不可选择的。
Field {0} of type {1} cannot be mandatory,类型{1}的字段{0}不是必须的
Fieldname,字段名
Fieldname is required in row {0},{0}行的字段名是必需
Fieldname not set for Custom Field,字段名不为自定义字段设置
Fieldname which will be the DocType for this link field.,这个链接字段字段名应是DOCTYPE。
Fieldname {0} appears multiple times in rows {1},字段名{0}中多次出现列{1}
"Fieldname {0} cannot contain letters, numbers or spaces",字段名{0}不能包含字母，数字或空格
Fields,字段列表
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box",字段用逗号（，）分隔将被纳入<br /> <b>搜索</b>的搜索对话框列表
Fieldtype cannot be changed from {0} to {1} in row {2},第{2}行的字段类型不能从{0}改变为{1}
File,文件
File Data,文件数据
File Name,文件名
File Size,文件大小
File URL,文件的URL
File not attached,文件未被附加
File size exceeded the maximum allowed size of {0} MB,文件大小超过{0} MB的最大允许大小
Fill Screen,填充屏幕
Filter,过滤器
Filter records based on User Permissions defined for a user,基于用户权限筛选出来的记录
Filters,过滤器
Find {0} in {1},在{1}中寻找{0}
First Name,姓
Float,浮点数
Float Precision,浮点数的精度
Font (Heading),字体（标题）
Font (Text),字体（文字）
Font Size,字体大小
Font Size (Text),字体大小（文本）
Fonts,字体列表
Footer,页脚
Footer Background,页脚背景
Footer Items,页脚元素
Footer Text,页脚文本
For DocType,对于DocType而言
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma","对于链接，键入DocType为范围;
对于选择，以逗号分隔键入选择列表"
"For comparative filters, start with",对于比较过滤器，请以说明的开始
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,例如，如果你取消并修改“INV004”它将成为一个新的文档“INV004-1”。这样的话可以帮助您追踪每个改变以及版本。
For ranges,对于范围而言
For top bar,对于顶部bar而言
For {0} at level {1} in {2} in row {3},对于第{3}行在{2}中的级别为{1}的{0}而言
Forgot Password,忘记密码
Forgot Password?,忘记密码?
Form,表单
Forum,论坛
Forums,论坛列表
Forward To Email Address,转发到邮件地址
Frappe Framework,框架
Friday,星期五
From Date must be before To Date,开始日期必须在结束日期之前
Full Name,全名
Gantt Chart,甘特图
Gender,性别
Generator,产生器
Georgia,Georgia
Get,获取
Get From ,获取
"Get your globally recognized avatar from <a href=""https://gravatar.com/"">Gravatar.com</a>",从<a href='https://gravatar.com/'> Gravatar.com </a>得到一个头像
GitHub,GitHub
GitHub Client ID,GitHub的客户ID
GitHub Client Secret,GitHub的客户端密钥
Github User ID,Github 用户ID
Github Username,Github 用户名
Google,谷歌
Google Analytics ID,谷歌Analytics（分析）的ID
Google Client ID,谷歌客户ID
Google Client Secret,谷歌客户端密钥
Google Plus One,谷歌+
Google User ID,谷歌的用户ID
Google Web Font (Heading),谷歌网页字体（标题）
Google Web Font (Text),谷歌网页字体（文字）
Greater or equals,大于或等于
Greater than,大于
"Group Added, refreshing...",组已添加，刷新...
Group Description,组简介
Group Name,组名称
Group Title,组标题
Group Type,组类型
Groups,组
HTML for header section. Optional,标题的HTML(可选)
Have an account? Login,已经有帐户？登录
Header,标头
Heading,标题
Heading Text As,标题文字
Help,帮助
Help on Search,搜索帮助
Helvetica Neue,Helvetica Neue字体
Hidden,隐藏
Hide Actions,隐藏操作
Hide Copy,隐藏复制操作
Hide Heading,隐藏标题
Hide Toolbar,隐藏工具栏
Hide the sidebar,隐藏侧边栏
High,高
Highlight,突出
History,历史
Home Page,首页
Home Page is Products,首页显示产品
ID (name) of the entity whose property is to be set,实体的属性需要被设置
Icon,图标
Icon will appear on the button,图标将显示在按钮上
"If a Role does not have access at Level 0, then higher levels are meaningless.",如果角色没有0级权限，那么更高级的权限是没有意义的。
"If checked, an email with an attached HTML format will be added to part of the EMail body as well as attachment. To only send as attachment, uncheck this.",如果选中，则带有附加的HTML格式的电子邮件会被添加到电子邮件正文的一部分，以及作为附件。如果只作为附件发送，请取消勾选此。
"If checked, the Home page will be the default Item Group for the website.",如果选中，网站的主页将显示默认的产品或服务。
"If image is selected, color will be ignored (attach first)",如果图像被选中，颜色将被忽略
If non standard port (e.g. 587),如果非标准端口（如587）
"If these instructions where not helpful, please add in your suggestions on GitHub Issues.",如果这些指令没有帮助，请加在GitHub上的提出你的建议。
"If you set this, this Item will come in a drop-down under the selected parent.",如果你设置这个，这个项目会显示在父菜单的下拉菜单中。
Ignore User Permissions,忽略用户权限
"Ignoring Item {0}, because a group exists with the same name!",忽略项目{0} ，因为已经存在具有相同名字的项目！
Image,图像
Image Link,图片链接
Import,导入
Import / Export Data,导入/导出数据
Import / Export Data from .csv files.,从CSV文件导入/导出数据。
In,包括
In Dialog,在对话框中
In Filter,在过滤器中
In List View,在列表视图中
In Report Filter,在报表筛选中
In points. Default is 9.,以点为单位;默认值是9
In response to,响应
Incorrect value in row {0}: {1} must be {2} {3},不正确的值在第{0}行: {1}必须是{2} {3}
Incorrect value: {0} must be {1} {2},不正确的值：{0}必须是{1} {2}
Index,索引
Individuals,个人
Info,信息
Insert After,添加在之后
"Insert After field '{0}' mentioned in Custom Field '{1}', does not exist",字段“{0}”后添加的字段的自定义字段“{1}”，不存在
Insert Below,在下面添加
Insert Code,添加代码
Insert Row,添加行
Insert Style,添加样式
Install Applications.,安装应用程序
Installed,已安装
Installer,安装程序
Int,诠释
Integrations,集成
Introduce your company to the website visitor.,介绍贵公司给网站访客
Introduction,介绍
Introductory information for the Contact Us Page,联系我们页面的介绍信息
Invalid Email: {0},无效的电子邮件:{0}
Invalid Filter: {0},无效的过滤器:{0}
Invalid Home Page,无效的主页
Invalid Login,无效登录
Invalid Outgoing Mail Server or Port,无效的发送邮件服务器或端口
Invalid login or password,无效的登录名或密码
Invalid recipient address,无效的收件人地址
Inverse,反向(反转)
Is Active,是有效的
Is Child Table,是子表
Is Default,是默认
Is Event,是事件
Is Mandatory Field,是必填项
Is Single,是单个的
Is Standard,为标准的
Is Submittable,是可提交的
Is Task,是任务
Item cannot be added to its own descendents,不能将自己添加为自己的子项
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript的格式: frappe.query_reports [&#39;REPORTNAME&#39;] = {}
Javascript,Javascript
Javascript to append to the head section of the page.,Javascript附加到页面的head部分。
Key,关键
Label,标签
Label Help,标签说明
Label and Type,标签和类型
Label is mandatory,标签是强制性的
Landing Page,着陆页
Language,语言
Language preference for user interface (only if available).,用户界面的语言偏好（如果有的话）。
"Language, Date and Time settings",语言，日期和时间设置
Last IP,最后一个IP
Last Login,上次登录
Last Name,名
Last updated by,最后更新人
Lastmod,上一个更改人
Lato,Lato
Leave blank to repeat always,留空来设置总是重复
Left,左边
Less or equals,小于或等于
Less than,小于
Letter Head,信头
Letter,信
Letter Head Name,信头名
Letter Head in HTML,信头中的HTML
Level,级别
"Level 0 is for document level permissions, higher levels for field level permissions.",0级是文档级权限，更高层次为字段级权限。
Like,类似于
Link,链接
"Link that is the website home page. Standard Links (index, login, products, blog, about, contact)",网站的主页链接。标准链接（索引，登录，产品，博客，关于，联系）
Link to other pages in the side bar and next section,通过侧边栏和章节链接到其它的页面
Link to the page you want to open,链接到你想打开的网页
Linked In Share,Linked In 分享
Linked With,与网站链接
List,列表
List a document type,列出一个文档类型
List of Web Site Forum's Posts.,网站论坛的帖子列表。
Loading,载入中
Loading Report,加载报表
Loading...,载入中...
Localization,本地化
Location,位置
Log of error on automated events (scheduler).,记录自动化事件（调度）的错误。
Login,登录
Login After,登录后
Login Before,登录前
Login Id,登录ID
Login not allowed at this time,不允许在这个时候登录
Logout,注销
Long Text,长文本
Low,低
Lucida Grande,Lucida Grande
Mail Password,邮件密码
Main Section,主章节
Make a new,创建一个新的
Make a new record,创建一条新纪录
Male,男性
Manage cloud backups on Dropbox,管理Dropbox云备份
Manage uploaded files.,管理上传的文件
Mandatory,强制的
Mandatory fields required in {0},{0}中的必填字段
Mandatory filters required:\n,必填的过滤条件:\n
Master,主数据
Max Attachments,最大附件大小
Max width for type Currency is 100px in row {0},第{0}行中的最大货币宽度是100px
"Meaning of Submit, Cancel, Amend",提交，取消，修改的含义
Medium,中等
"Menu items in the Top Bar. For setting the color of the Top Bar, go to <a href=""#Form/Style Settings"">Style Settings</a>","顶栏菜单项。设置最上面一栏的颜色，<a href=""#Form/Style Settings"">样式设置</a>"
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,合并只能发生在组到组或叶节点到叶节点
Message,消息
Message Examples,消息示例
Messages,消息列表
Method,方法
Middle Name (Optional),中间名（可选）
Misc,杂项
Miscellaneous,杂项
Missing Values Required,未填的必填项
Modern,现代
Modified by,由谁修改
Module,模块
Module Def,模块定义
Module Name,模块名称
Module Not Found,模块未找到
Modules Setup,模块架设
Monday,星期一
More,更多
More content for the bottom of the page.,页面的底部添加更多的内容。
Move Down: {0},下移:{0}
Move Up: {0},上移:{0}
Multiple root nodes not allowed.,不允许多个根节点。
Must have report permission to access this report.,必须具有访问此报告报表的权限。
Must specify a Query to run,必须指定一个查询运行
My Settings,我的设置
Name,名称
Name Case,案例名称
Name and Description,名称和说明
Name is required,名称是必需的
Name not permitted,名称不允许
Name not set via Prompt,名称未通过设置提示
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,字段需要链接到的文档类型（DOCTYPE）下的名称。如客户
Name of {0} cannot be {1},{0}的名称不能为{1}
Naming,命名
Naming Series mandatory,命名序列必须设置
Nested set error. Please contact the Administrator.,嵌套设置的错误。请联系管理员。
New,新建
New Password,新密码
New Record,新记录
New comment on {0} {1},新评论{0} {1}
New password emailed,新的密码已通过电子邮件发送
New value to be set,新的值已被设置
New {0},新建{0}
Next Communcation On,下次沟通在
Next Record,下一记录
Next State,下一状态
Next actions,下一步操作
No,没有
No Action,没有操作
No Communication tagged with this ,没有找到此标签相关的沟通记录:
No Copy,没有复制
No Permissions set for this criteria.,没有权限设置此条件。
No Report Loaded. Please use query-report/[Report Name] to run a report.,无报告被加载。请使用报告查询器/ [报告名称]运行报告。
No Results,没有结果
No Sidebar,没有侧边栏
No User Permissions found.,用户权限没有找到
No data found,没有找到数据
No file attached,没有附加的文件
No further records,没有记录
No one,没有人
No permission to '{0}' {1},没有权限“{0}” {1}
No permission to edit,无权限进行编辑
No permission to write / remove.,没有权限写入/删除。
No records tagged.,没有记录被打上标签
No template found at path: {0},路径{0}中没有找到模板
No {0} permission,没有{0}的权限
None,无
None: End of Workflow,无:结束的工作流程
Not Found,未找到
Not Linked to any record.,没有链接到任何记录。
Not Permitted,不被允许
Not Submitted,未提交
Not a user yet? Sign up,还不是用户?注册
Not a valid Comma Separated Value (CSV File),不是一个有效的逗号分隔值（ CSV文件）
Not allowed,不允许
Not allowed from this IP Address,被禁止的IP
Not allowed to Import,不允许导入
Not allowed to access {0} with {1} = {2},不允许访问{0} 和 {1} = {2}
Not allowed to change {0} after submission,不允许提交后更改{0}
Not allowed to move,不允许移动记录
Not allowed to reset the password of {0},不能重设{0}的密码
Not enough permission to see links.,没有足够的权限查看链接。
Not equals,不等于
Not found,未找到
Not in Developer Mode! Set in site_config.json,不是在开发模式！在site_config.json中设置
Not permitted,不被允许
"Note: For best results, images must be of the same size and width must be greater than height.",注意：为达到最佳效果，图象必须具有相同的尺寸并且宽度必须大于高度。
Note: Other permission rules may also apply,注：其它权限规则也可应用
Note: maximum attachment size = 1mb,注：附件大小上限= 1MB
Nothing to show,没有可显示的记录
Nothing to show for this selection,此选项没有记录可显示
Notification Count,通知次数
Notify by Email,通过电子邮件通知
Number Format,数字格式
Old Parent,Old Parent
On,On
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).",一旦你设置这个，那么用户将只能访问有链接关系的文档。
Only Administrator allowed to create Query / Script Reports,只有管​​理员可以创建查询/报告的脚本
